station,arrondissement,mm,dd,wday,dur
Métro Jarry (Lajeunesse / Jarry),Villeray - Saint-Michel - Parc-Extension,7,14,Friday,12.6984786
du Parc-La Fontaine / Duluth,Le Plateau-Mont-Royal,9,6,Wednesday,12.86296185
Parc St-Paul (Le Caron / Marc-Sauvalle),Le Sud-Ouest,9,24,Sunday,17.35714781
Quai de la navette fluviale,Ville-Marie,7,21,Friday,32.28282569
Drolet / Marie-Anne,Le Plateau-Mont-Royal,10,14,Saturday,10.39677947
Rosemont / Viau,Rosemont - La Petite-Patrie,7,13,Thursday,14.13407207
de Bullion / St-Joseph,Le Plateau-Mont-Royal,5,26,Friday,13.18986648
Bercy / Rachel,Le Plateau-Mont-Royal,5,12,Friday,17.70150225
du President-Kennedy / Union,Ville-Marie,6,7,Wednesday,11.79669888
de Grosbois / Duchesneau,Mercier - Hochelaga-Maisonneuve,5,19,Friday,14.88838148
Rosemont / Viau,Rosemont - La Petite-Patrie,5,22,Monday,25.66057778
Parc Champdoré (Champdoré / de Lille),Villeray - Saint-Michel - Parc-Extension,9,25,Monday,15.39707188
1ère  avenue / St-Zotique,Rosemont - La Petite-Patrie,8,20,Sunday,16.03002281
Ste-Catherine / Dezery,Mercier - Hochelaga-Maisonneuve,6,17,Saturday,16.74790259
Rosemont / Viau,Rosemont - La Petite-Patrie,10,27,Friday,18.34923551
Rose-de-Lima / Workman,Le Sud-Ouest,10,27,Friday,18.15946828
de Gaspé / St-Viateur,Le Plateau-Mont-Royal,7,10,Monday,9.562512037
Milton / du Parc,Le Plateau-Mont-Royal,6,20,Tuesday,10.57704032
Parc Plage,Ville-Marie,8,18,Friday,23.52301316
Grey / Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,10,5,Thursday,17.85512429
Quai de la navette fluviale,Ville-Marie,7,5,Wednesday,25.47244286
de Mentana / Marie-Anne,Le Plateau-Mont-Royal,6,5,Monday,11.57448664
Parthenais / du Mont-Royal,Le Plateau-Mont-Royal,8,31,Thursday,11.91358035
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,5,13,Saturday,14.64089855
Nicolet / Sherbrooke,Mercier - Hochelaga-Maisonneuve,10,25,Wednesday,21.1224
Maguire / Henri-Julien,Le Plateau-Mont-Royal,9,7,Thursday,11.13330844
Henri-Julien / de Bellechasse,Rosemont - La Petite-Patrie,10,21,Saturday,10.02711958
de Lanaudière / Bélanger,Rosemont - La Petite-Patrie,7,23,Sunday,14.11664702
Fortune / Wellington,Le Sud-Ouest,7,26,Wednesday,12.30328937
Harvard / de Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,6,5,Monday,13.01871532
St-Dominique / St-Viateur,Le Plateau-Mont-Royal,10,10,Tuesday,9.893708216
de Mentana / Marie-Anne,Le Plateau-Mont-Royal,6,2,Friday,13.08369854
Pontiac / Gilford,Le Plateau-Mont-Royal,8,22,Tuesday,10.41567669
8e avenue / Dandurand,Rosemont - La Petite-Patrie,6,30,Friday,14.74477865
Du Quesne / de Marseille,Mercier - Hochelaga-Maisonneuve,6,3,Saturday,22.67779265
Nicolet / Sherbrooke,Mercier - Hochelaga-Maisonneuve,10,1,Sunday,13.91106067
de Bordeaux / Masson,Le Plateau-Mont-Royal,10,16,Monday,12.53399235
Ann / Wellington,Le Sud-Ouest,5,10,Wednesday,14.71645154
du Rosaire / St-Hubert,Villeray - Saint-Michel - Parc-Extension,8,2,Wednesday,13.67969103
5e avenue / Rosemont,Rosemont - La Petite-Patrie,9,25,Monday,12.02390517
d'Orléans / Masson,Rosemont - La Petite-Patrie,8,5,Saturday,16.62759787
Lajeunesse / de Liège,Villeray - Saint-Michel - Parc-Extension,10,23,Monday,14.520966
Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,5,17,Wednesday,15.80151746
du President-Kennedy / Union,Ville-Marie,8,21,Monday,12.35363978
de Kent / de la Côte-des-Neiges,Côte-des-Neiges - Notre-Dame-de-Grâce,5,28,Sunday,16.79422973
Grey / Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,9,5,Tuesday,16.18630621
de la Côte-Ste-Catherine / Decelles,Côte-des-Neiges - Notre-Dame-de-Grâce,8,22,Tuesday,16.32630652
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),Côte-des-Neiges - Notre-Dame-de-Grâce,8,19,Saturday,13.73195368
Dorion / Rachel,Le Plateau-Mont-Royal,5,12,Friday,13.47299952
Henri-Julien / Laurier,Le Plateau-Mont-Royal,9,8,Friday,11.94468069
Dorion / Rachel,Le Plateau-Mont-Royal,10,1,Sunday,14.989025
Parc Champdoré (Champdoré / de Lille),Villeray - Saint-Michel - Parc-Extension,8,12,Saturday,22.78353333
Lacombe / Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,5,26,Friday,26.13802778
Lacombe / Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,6,10,Saturday,22.78907366
Nicolet / Sherbrooke,Mercier - Hochelaga-Maisonneuve,8,15,Tuesday,13.41405432
Durocher / Beaumont,Villeray - Saint-Michel - Parc-Extension,6,9,Friday,13.50786724
Duluth  / St-Denis,Le Plateau-Mont-Royal,5,10,Wednesday,12.64586614
de la Côte-Ste-Catherine / Decelles,Côte-des-Neiges - Notre-Dame-de-Grâce,7,29,Saturday,12.31161842
Quai de la navette fluviale,Ville-Marie,8,30,Wednesday,49.122415
Bourget / St-Jacques,Le Sud-Ouest,10,3,Tuesday,9.785622917
Marquette / Rachel,Le Plateau-Mont-Royal,10,4,Wednesday,11.55663725
Ann / Wellington,Le Sud-Ouest,6,5,Monday,13.60761597
St-Dominique / St-Viateur,Le Plateau-Mont-Royal,8,25,Friday,12.73252674
Metcalfe / de Maisonneuve,Ville-Marie,8,6,Sunday,19.16167813
Duluth  / St-Denis,Le Plateau-Mont-Royal,10,25,Wednesday,10.9960474
Métro Jarry (Lajeunesse / Jarry),Villeray - Saint-Michel - Parc-Extension,5,26,Friday,12.37520552
Rosemont / Viau,Rosemont - La Petite-Patrie,8,17,Thursday,23.92975
Fortune / Wellington,Le Sud-Ouest,10,3,Tuesday,13.10966751
8e avenue / Everett,Villeray - Saint-Michel - Parc-Extension,9,14,Thursday,17.08183333
du Mont-Royal / Augustin-Frigon,Rosemont - La Petite-Patrie,9,28,Thursday,12.27722401
Boyer / St-Zotique,Rosemont - La Petite-Patrie,5,30,Tuesday,12.60696358
Christophe-Colomb / St-Joseph,Le Plateau-Mont-Royal,7,13,Thursday,9.748673413
Wilderton  / Van Horne,Côte-des-Neiges - Notre-Dame-de-Grâce,9,21,Thursday,12.46584818
Parthenais / du Mont-Royal,Le Plateau-Mont-Royal,10,23,Monday,10.51739287
Fortune / Wellington,Le Sud-Ouest,7,11,Tuesday,13.16861558
Milton / du Parc,Le Plateau-Mont-Royal,7,11,Tuesday,11.46476667
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,8,5,Saturday,11.25305831
de l'Hôtel-de-Ville / Sherbrooke,Ville-Marie,6,3,Saturday,11.84238893
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,6,29,Thursday,10.38432481
27e avenue / Rosemont,Rosemont - La Petite-Patrie,7,18,Tuesday,17.53570775
